Antwerpen,BrabantWallon,Brussels,Hainaut,Limburg,Liège,Luxembourg,Namur,OostVlaanderen,VlaamsBrabant,WestVlaanderen
466,136,485,618,362,326,143,327,508,226,456
484,118,540,577,292,286,150,238,573,198,299
472,142,503,660,303,333,138,253,559,208,240
204,41,276,200,122,122,45,148,282,66,108
179,46,155,66,94,11,11,27,100,38,27
492,137,478,605,384,363,88,241,646,227,363
455,103,402,597,341,351,105,246,464,153,353
405,110,478,460,325,235,76,193,445,163,310
451,84,411,514,245,251,79,220,430,174,266
445,86,502,482,341,271,77,195,450,204,221
221,53,383,251,119,132,19,106,170,97,68
168,17,255,90,67,5,0,43,83,46,26
625,171,626,648,385,433,106,257,751,377,377
556,94,552,693,344,255,45,200,494,194,353
530,90,442,586,387,224,48,201,405,209,279
450,78,442,491,253,285,70,233,382,184,215
394,95,417,457,284,188,85,191,373,192,245
158,18,237,197,109,67,20,75,129,62,147
129,0,171,20,81,5,6,26,61,51,21
492,136,398,546,290,307,63,216,523,276,351
411,87,412,582,280,216,58,190,370,207,307
450,101,345,383,317,201,26,172,281,222,208
404,64,358,396,300,205,27,165,297,183,211
364,107,339,442,261,215,57,170,360,175,268
133,5,185,103,95,15,10,56,92,35,61
171,5,159,41,63,8,5,23,70,50,52
561,86,412,531,313,430,46,191,511,226,365
457,62,360,478,267,300,50,182,377,196,273
392,78,369,461,340,253,60,187,359,176,274
452,89,375,435,262,242,60,167,346,143,247
386,58,258,458,263,231,43,129,298,172,236
264,37,175,214,61,74,19,35,92,24,112
118,9,98,30,56,0,5,15,31,28,15
485,113,266,370,200,252,39,127,335,164,325
372,92,262,471,171,197,34,122,299,112,177
346,101,254,373,130,230,29,92,226,123,155
110,5,119,72,43,10,0,18,38,19,31
259,96,229,307,80,229,25,123,246,130,154
150,14,185,78,49,37,0,12,63,7,46
104,6,107,14,29,7,12,5,16,5,11
489,121,354,436,239,268,42,107,329,197,307
400,109,294,501,173,236,49,93,260,186,230
454,107,386,333,160,241,47,77,225,150,197
228,100,241,343,106,156,12,64,189,104,171
